public_essay_id,split,language,rater_score,rater_cefr_level,rater_pass_fail,automarker_score,automarker_confidence,automarker_cefr_level,automarker_pass_fail
essay_1d1c94b4e6f84f79,test,Greek,6,B1,pass,7.503,0.937797,B2,pass
essay_69bdae6b972a4f07,test,Spanish,1,A2,fail,1.038,0.574518,A2,fail
essay_26fbe10aa4cf4872,test,English,2,A2,fail,2.352,0.778727,A2,fail
essay_b2d153d2fa3b43ac,test,English,9,C1,pass,9.88,0.794037,C1,pass
essay_0336606f1946476d,test,Dutch,7,B2,pass,7.651,0.907182,B2,pass
essay_fef4430954d1488a,test,Italian,2,A2,fail,3.499,0.802375,A2,fail
essay_384a401bf7f94966,test,Italian,3,A2,fail,1.689,0.942662,A2,fail
essay_c46679848cb34e84,test,German,6,B1,pass,5.986,0.87625,B1,pass
essay_a08385971b044c5d,test,Dutch,4,B1,fail,5.384,0.5,B1,pass
essay_6d24a6e1c5964124,test,English,9,C1,pass,9.347,0.926719,C1,pass
essay_45aac62557ea40e9,test,Romanian,2,A2,fail,2.6,0.944325,A2,fail
essay_e24f7e5870e940f7,test,German,2,A2,fail,1.0,0.789079,A2,fail
essay_3eb6f6686e034c7e,test,Portuguese,7,B2,pass,5.614,0.93845,B1,pass
essay_9505baa5905144ed,test,Hindi,6,B1,pass,5.858,0.613521,B1,pass
essay_3c946c2fcc6c4f1f,test,English,2,A2,fail,2.268,0.548929,A2,fail
essay_56973eb7be5449c7,test,German,1,A2,fail,1.0,0.701992,A2,fail
essay_03121e44fa844c51,test,Polish,3,A2,fail,1.081,0.88337,A2,fail
essay_ef985ca555914964,test,English,8,B2,pass,8.424,0.787875,B2,pass
essay_d863f0e112694a95,test,Hindi,9,C1,pass,7.363,0.786828,B2,pass
essay_77e7040fdebf4f83,test,Italian,6,B1,pass,6.97,0.810221,B2,pass
essay_991fc1e4233a457c,test,Hindi,5,B1,pass,4.869,0.688343,B1,fail
essay_7c9862fd350d4127,test,English,4,B1,fail,2.002,0.814312,A2,fail
essay_5cd3cde07a21403e,test,Greek,2,A2,fail,2.428,0.540208,A2,fail
essay_164ea301dded43cc,test,Dutch,5,B1,pass,5.121,0.898817,B1,pass
essay_b0b319b8d5cb4580,test,German,6,B1,pass,6.805,0.702232,B2,pass
essay_11627ab02f3b4df1,test,Spanish,8,B2,pass,7.973,0.753661,B2,pass
essay_58868054234342de,test,Polish,4,B1,fail,2.923,0.612115,A2,fail
essay_8b496321b95d4e50,test,Romanian,2,A2,fail,1.0,0.74394,A2,fail
essay_4ba9ee96925640b0,test,Italian,9,C1,pass,9.302,0.750977,C1,pass
essay_bae0f078f43647d1,test,German,9,C1,pass,9.768,0.892596,C1,pass
essay_240aabb75ca344ca,test,Spanish,7,B2,pass,5.722,0.83262,B1,pass
essay_5f955057476c4c52,test,Dutch,1,A2,fail,1.0,0.781586,A2,fail
essay_c215b36c98a94ad6,test,Turkish,2,A2,fail,1.0,0.995842,A2,fail
essay_df30fcc4634c4122,test,English,9,C1,pass,10.0,0.942068,C1,pass
essay_fb5cd0f919c84a7d,test,Italian,7,B2,pass,7.595,0.8809,B2,pass
essay_7f1b06a6af2648b3,test,French,4,B1,fail,4.392,0.695253,B1,fail
essay_91d5da53958045ec,test,German,5,B1,pass,4.011,0.970736,B1,fail
essay_3978bb4ef47e4396,test,German,2,A2,fail,2.397,0.830801,A2,fail
essay_02be07997ba243b5,test,Dutch,7,B2,pass,6.031,0.904389,B1,pass
essay_9a8489c537ae4e3c,test,Hindi,8,B2,pass,8.32,0.711954,B2,pass
essay_1e0200e2700b4a68,test,German,8,B2,pass,6.998,0.767993,B2,pass
essay_6bb8cf3a4fe14915,test,Polish,9,C1,pass,10.0,0.607875,C1,pass
essay_c32e382877084cf0,test,Turkish,8,B2,pass,6.756,0.594588,B2,pass
essay_64700e8af4b64e68,test,Turkish,9,C1,pass,8.44,0.910824,B2,pass
essay_65b4e9c9c0d84de6,test,French,1,A2,fail,1.634,0.648001,A2,fail
essay_52de8cc3fb174053,test,German,9,C1,pass,10.0,0.83678,C1,pass
essay_44d95f433eb74607,test,Dutch,6,B1,pass,5.228,0.923916,B1,pass
essay_986aedfc82ac439e,test,French,3,A2,fail,1.351,0.93234,A2,fail
essay_5b6f6a6da6f54629,test,Dutch,4,B1,fail,4.868,0.903011,B1,fail
essay_6b66d3a1ad044da8,test,Turkish,4,B1,fail,5.239,0.751902,B1,pass
essay_103c0d95f0c14635,test,Spanish,8,B2,pass,7.398,0.521066,B2,pass
essay_9b09d1f9ebce43b0,test,Polish,6,B1,pass,5.856,0.75812,B1,pass
essay_330903028676471d,test,French,6,B1,pass,6.113,0.827021,B1,pass
essay_0044dc5268144d38,test,Portuguese,9,C1,pass,8.673,0.990097,C1,pass
essay_085fea992d81499b,test,Portuguese,3,A2,fail,2.501,0.684122,A2,fail
essay_84c659e2fdf24dc6,test,Romanian,6,B1,pass,6.813,0.712985,B2,pass
essay_74491768377649f4,test,Greek,4,B1,fail,6.466,0.859076,B1,pass
essay_c9f3407100c04e00,test,English,9,C1,pass,7.164,0.520667,B2,pass
essay_cf56d583628e422f,test,Spanish,3,A2,fail,1.869,0.615891,A2,fail
essay_0d6c6fd365694383,test,Greek,1,A2,fail,1.082,0.701673,A2,fail
essay_bf69d46417e145ec,test,English,9,C1,pass,9.6,0.849335,C1,pass
essay_a23acc69caee44b7,test,Romanian,9,C1,pass,8.278,0.971984,B2,pass
essay_7ccca7dceed040ec,test,Romanian,4,B1,fail,4.302,0.5,B1,fail
essay_d3fca585b3ee4f86,test,Turkish,8,B2,pass,8.951,0.5,C1,pass
essay_8b456a4b4705476e,test,Portuguese,4,B1,fail,3.03,0.741349,A2,fail
essay_fbea40e776f140b2,test,English,2,A2,fail,1.033,0.855434,A2,fail
essay_a0064687c2194e8c,test,Dutch,2,A2,fail,3.491,0.856174,A2,fail
essay_7dcc93c78d084e0f,test,Greek,3,A2,fail,2.23,0.5,A2,fail
essay_ef34429faef24651,test,Turkish,5,B1,pass,6.348,0.5,B1,pass
essay_ea862af3335a4dd1,test,Hindi,7,B2,pass,7.877,0.960061,B2,pass
essay_0c020f3b78784760,test,Hindi,6,B1,pass,7.345,0.730184,B2,pass
essay_aaba7fdb2820492c,test,Greek,2,A2,fail,1.767,0.5,A2,fail
essay_3aa5945ea6d54308,test,Portuguese,5,B1,pass,5.794,0.714128,B1,pass
essay_91df0588381044e5,test,German,4,B1,fail,3.313,0.825001,A2,fail
essay_3e1fc858249b45cb,test,English,3,A2,fail,3.554,0.939341,B1,fail
essay_9f662d6c479c4c91,test,Italian,1,A2,fail,2.142,0.561371,A2,fail
essay_5542118aa3434659,test,Italian,8,B2,pass,7.512,0.946299,B2,pass
essay_8fb0d280dfda4a2f,test,Greek,8,B2,pass,8.366,0.784644,B2,pass
essay_1e20d2eb49b84a0e,test,Spanish,8,B2,pass,8.259,0.875202,B2,pass
essay_17f0fcbd0e414b5e,test,Polish,8,B2,pass,8.01,0.713671,B2,pass
essay_ee0afadd337b44ed,test,Romanian,3,A2,fail,2.982,0.598201,A2,fail
essay_9d0016e4531c4422,test,Hindi,6,B1,pass,5.218,0.723925,B1,pass
essay_2080bac89b1646f2,test,Portuguese,2,A2,fail,1.243,0.870978,A2,fail
essay_acf44fc6f3df415e,test,Italian,7,B2,pass,6.356,0.662542,B1,pass
essay_a86c911dfdeb45df,test,Polish,2,A2,fail,3.799,0.892027,B1,fail
essay_73fd173ab9384610,test,Greek,9,C1,pass,9.86,0.669629,C1,pass
essay_b6dcb11edb5f4de1,test,Turkish,3,A2,fail,2.24,0.700927,A2,fail
essay_b29e1e96cc154ac4,test,Portuguese,7,B2,pass,6.65,0.753334,B2,pass
essay_56cffaeaadb74d95,test,Turkish,7,B2,pass,8.125,0.5,B2,pass
essay_decaa49b6c944b81,test,German,5,B1,pass,5.3,0.777018,B1,pass
essay_359b124afe394070,test,Greek,8,B2,pass,7.026,0.5,B2,pass
essay_691c23730f1b40c6,test,English,7,B2,pass,8.435,0.799404,B2,pass
essay_ad82e13a6ada4a22,test,English,8,B2,pass,7.75,0.828813,B2,pass
essay_575d5c1eb1c24ac7,test,Turkish,9,C1,pass,8.149,0.849321,B2,pass
essay_e912df01dd4d46ce,test,Turkish,9,C1,pass,9.687,0.5,C1,pass
essay_891a538f6d8c48af,test,Italian,9,C1,pass,9.236,0.724028,C1,pass
essay_b944dd1c87bd497c,test,Polish,7,B2,pass,7.232,0.5,B2,pass
essay_4afc726aa8fe468b,test,Turkish,6,B1,pass,4.75,0.5,B1,fail
essay_343a2a7b8c0b43f7,test,Greek,5,B1,pass,4.584,0.68051,B1,fail
essay_d9dd46dcff77474d,test,Hindi,5,B1,pass,6.075,0.641314,B1,pass
essay_d856f242178d4ee7,test,French,2,A2,fail,3.606,0.762092,B1,fail
essay_ebf9738d5f624cd2,test,Spanish,8,B2,pass,6.579,0.926472,B2,pass
essay_88388a2f08e94855,test,Greek,3,A2,fail,1.858,0.900209,A2,fail
essay_b89ece2b9ebe4a32,test,Portuguese,9,C1,pass,8.865,0.727402,C1,pass
essay_9fbfdcd8d0bd4d67,test,English,6,B1,pass,6.304,0.557248,B1,pass
essay_5d2da190de5647c1,test,English,6,B1,pass,5.145,0.871764,B1,pass
essay_5c4a86bd17a440c5,test,Dutch,5,B1,pass,3.405,0.814515,A2,fail
essay_4225e0b5b1c04e4b,test,Spanish,3,A2,fail,3.142,0.926018,A2,fail
essay_a46c9bb029264887,test,Polish,9,C1,pass,9.766,0.951759,C1,pass
essay_9db4aff74789433a,test,English,8,B2,pass,7.108,0.757025,B2,pass
essay_43c67e83ea65474a,test,Turkish,6,B1,pass,5.979,0.716288,B1,pass
essay_d4e570d024084c5d,test,Spanish,7,B2,pass,5.869,0.823973,B1,pass
essay_637a7469a3bc4236,test,Hindi,8,B2,pass,8.702,0.96787,C1,pass
essay_9272d836788f4142,test,Greek,5,B1,pass,4.471,0.960898,B1,fail
essay_83e4b8f4b68c40db,test,Romanian,3,A2,fail,3.307,0.875174,A2,fail
essay_12b98409d5874de5,test,Spanish,6,B1,pass,7.629,0.891939,B2,pass
essay_c293422c38e94624,test,Polish,1,A2,fail,1.152,0.555041,A2,fail
essay_bf2a7766905942d9,test,Turkish,5,B1,pass,4.552,0.841863,B1,fail
essay_6b00515af2454e94,test,English,8,B2,pass,10.0,0.892061,C1,pass
essay_923f388a27824f98,test,Spanish,1,A2,fail,1.0,0.518027,A2,fail
essay_a573f30ca7b54dcb,test,Turkish,8,B2,pass,7.232,0.920142,B2,pass
essay_dee403e110b04a4c,test,French,9,C1,pass,10.0,0.925371,C1,pass
essay_91602a1422e04e6f,test,English,1,A2,fail,1.115,0.915582,A2,fail
essay_483a6104b573418d,test,Spanish,2,A2,fail,1.873,0.5,A2,fail
essay_46f3013f1add468e,test,Spanish,8,B2,pass,7.293,0.542978,B2,pass
essay_0789218f9b974969,test,Hindi,4,B1,fail,2.771,0.69625,A2,fail
essay_a1a1f9808d2f40b5,test,Spanish,6,B1,pass,5.728,0.835661,B1,pass
essay_0bc29f2728554f1e,test,Greek,5,B1,pass,7.063,0.662408,B2,pass
essay_a5e39870c72d4016,test,Dutch,1,A2,fail,1.241,0.824701,A2,fail
